street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
SW TEXAS ST,13,1.056,10,28,5.0,5,0.229
NE SIMPSON ST,13,1.049,18,36,9.0,1,0.092
SE 102ND AVE,13,1.047,28,32,7.0,0,0.0
NE ROSA PARKS WAY,16,1.029,28,36,9.0,0,0.0
NE IRVING ST,16,1.027,15,36,9.0,1,0.056
SE 152ND AVE,15,1.026,20,32,7.0,0,0.0
N IVANHOE ST,11,1.025,11,36,9.0,1,0.035
N BUCHANAN AVE,14,1.023,30,36,9.0,0,0.0
NE ALBERTA CT,12,1.023,18,36,9.0,1,0.255
SE 97TH AVE,16,1.017,22,46,14.0,0,0.0
SW 8TH AVE,9,1.016,15,30,6.0,3,0.396
SW 32ND AVE,12,1.009,16,36,9.0,1,0.181
SW 36TH AVE,13,1.006,15,32,7.0,3,0.4
SW ILLINOIS ST,7,1.004,20,30,6.0,0,0.0
N EDISON ST,12,1.002,28,36,9.0,0,0.0
NE 91ST AVE,12,1.002,16,28,5.0,2,0.099
N BRYANT ST,22,1.001,16,40,11.0,1,0.032
SE SPOKANE ST,12,0.997,36,36,9.0,0,0.0
N EMERSON ST,12,0.994,26,36,9.0,0,0.0
NE FREMONT CT,11,0.993,26,32,7.0,0,0.0
SW CARSON ST,13,0.989,16,36,9.0,2,0.098
NE 67TH AVE,12,0.985,24,28,5.0,0,0.0
NE 60TH AVE,11,0.985,24,28,5.0,0,0.0
